"tmsi","tasus"
"1",24.207,21.463
"2",23.096,20.157
"3",22.798,19.985
"4",23.844,20.782
"5",23.513,20.408
"6",22.495,19.643
"7",24.331,21.687
"8",22.702,19.552
"9",22.119,19.813
"10",23.331,20.114
"11",23.571,20.032
"12",23.162,20.468
"13",23.516,20.761
"14",24.231,21.477
"15",24.03,20.925
"16",23.68,20.695
"17",24.944,21.447
"18",22.406,19.667
"19",22.796,19.427
"20",25.217,22.889
"21",24.491,21.834
"22",23.051,19.673
"23",24.506,21.291
"24",24.512,21.948
"25",21.967,18.845
"26",24.209,21.363
"27",24.256,21.729
"28",24.042,21.443
"29",23.211,20.594
"30",22.647,19.827
"31",23.535,20.862
"32",22.319,19.132
"33",25.568,22.567
"34",22.315,19.891
"35",24.849,22.062
"36",23.215,20.8
"37",22.009,19.51
"38",24.201,21.161
"39",24.347,20.956
"40",22.164,19.202
"41",25.598,22.947
"42",22.165,19.32
"43",24.67,21.357
"44",23.427,20.505
"45",23.527,20.793
"46",22.843,20.117
"47",21.957,19.634
"48",23.693,20.723
"49",23.299,20.94
"50",25.479,22.515
"51",22.661,20.096
"52",23.969,21.013
"53",20.717,18.523
"54",24.807,22.188
"55",24.655,21.844
"56",25.363,22.636
"57",23.293,19.913
"58",22.671,19.41
"59",23.709,21.368
"60",24.3,21.255
"61",24.698,21.381
"62",23.426,20.988
"63",24.518,21.231
"64",22.636,19.673
"65",23.562,21.444
"66",21.905,19.182
"67",22.888,19.876
"68",22.728,19.357
"69",23.062,20.527
"70",22.833,20.232
"71",25.502,22.849
"72",23.713,21.074
"73",23.529,20.687
"74",24.327,21.751
"75",25.188,22.209
"76",24.419,21.431
"77",23.253,20.544
"78",24.159,20.85
"79",23.166,20.09
"80",24.321,21.217
"81",23.05,20.174
"82",23.124,20.525
"83",23.359,20.445
"84",22.59,19.658
"85",23.043,19.74
"86",24.658,21.987
"87",22.829,19.339
"88",23.643,20.646
"89",24.465,21.905
"90",25.439,21.991
"91",23.005,19.96
"92",23.559,20.271
"93",23.719,21.108
"94",23.472,20.305
"95",22.963,20.414
"96",23.704,20.812
"97",23.675,20.496
"98",24.192,21.341
"99",23.831,21.085
"100",24.6,21.374
